match_id,season,match_number,stage,date,venue,city,team1,team2,toss_winner,toss_decision,first_innings_score,first_innings_wickets,first_innings_overs,second_innings_score,second_innings_wickets,second_innings_overs,result,winner,win_by,win_margin,player_of_match,umpire1,umpire2,is_day_night
M0012,2008,12,League,2008-03-28,Eden Gardens,Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,228,8,18.6,193,2,16.9,normal,Kolkata Knight Riders,runs,35,Denesh Cummins,Virender Sharma,KN Ananthapadmanabhan,True
M0013,2008,13,League,2008-03-30,Barabati Stadium,Cuttack,Delhi Daredevils,Kolkata Knight Riders,Kolkata Knight Riders,field,122,3,18.8,63,3,16.4,normal,Delhi Daredevils,runs,59,Mohammad Boult,Simon Taufel,Kumar Dharmasena,True
M0014,2008,14,League,2008-03-31,Punjab Cricket Association Stadium,Mohali,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,213,2,18.6,159,2,15.1,normal,Kings XI Punjab,runs,54,Mitch Cummins,Bruce Oxenford,Ulhas Gandhe,True
M0015,2008,15,League,2008-04-01,MCA Stadium,Pune,Rajasthan Royals,Deccan Chargers,Deccan Chargers,field,140,6,18.5,145,1,15.7,normal,Rajasthan Royals,wickets,5,Mitch Gill,Paul Reiffel,Virender Sharma,False
M0016,2008,16,League,2008-04-02,Punjab Cricket Association Stadium,Mohali,Kings XI Punjab,Rajasthan Royals,Kings XI Punjab,bat,110,7,19.1,95,8,16.3,normal,Kings XI Punjab,runs,15,Wriddhiman Brewis,Marais Erasmus,Rod Tucker,False
M0017,2008,17,League,2008-04-04,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,bat,226,4,19.9,229,1,19.9,normal,Rajasthan Royals,wickets,7,Ollie Siraj,AK Chaudhary,Ulhas Gandhe,False
M0018,2008,18,League,2008-04-05,Rajiv Gandhi Intl Cricket Stadium,Hyderabad,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,129,6,18.0,133,8,16.8,normal,Kolkata Knight Riders,wickets,3,Dinesh Bairstow,Nitin Menon,Billy Bowden,False
M0019,2008,19,League,2008-04-07,Narendra Modi Stadium,Ahmedabad,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,bat,223,8,18.4,233,10,17.6,normal,Royal Challengers Bangalore,wickets,2,Jasprit Rayudu,Billy Bowden,Anil Chaudhary,True
M0020,2008,20,League,2008-04-09,Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field,122,5,19.5,124,7,19.0,normal,Kings XI Punjab,super over,0,Lockie Ashwin,Paul Reiffel,Marais Erasmus,False
M0021,2008,21,League,2008-04-11,Eden Gardens,Kolkata,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore,bat,272,3,18.0,196,5,17.1,normal,Delhi Daredevils,runs,76,Virat Kishan,AK Chaudhary,Virender Sharma,False
M0022,2008,22,League,2008-04-13,Punjab Cricket Association Stadium,Mohali,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils,field,176,9,19.1,180,1,19.0,normal,Kings XI Punjab,wickets,5,Yuzvendra Kumar,Richard Kettleborough,Chris Gaffaney,False
M0023,2008,23,League,2008-04-14,DY Patil Stadium,Navi Mumbai,Deccan Chargers,Chennai Super Kings,Chennai Super Kings,bat,226,3,19.2,190,6,17.9,normal,Deccan Chargers,runs,36,Mujeeb Natarajan,Sundaram Ravi,CK Nandan,False
M0024,2008,24,League,2008-04-15,Brabourne Stadium,Mumbai,Deccan Chargers,Rajasthan Royals,Deccan Chargers,field,134,7,18.3,74,5,16.8,normal,Deccan Chargers,runs,60,Chris Sundar,Anil Chaudhary,Billy Bowden,True
M0025,2008,25,League,2008-04-16,Arun Jaitley Stadium,Delhi,Delhi Daredevils,Mumbai Indians,Delhi Daredevils,bat,176,6,19.4,182,2,17.7,normal,Delhi Daredevils,wickets,6,Wriddhiman Zampa,Anil Chaudhary,Richard Kettleborough,True
M0026,2008,26,League,2008-04-17,JSCA Intl Stadium Complex,Ranchi,Mumbai Indians,Kings XI Punjab,Kings XI Punjab,bat,230,10,20.0,239,2,17.1,normal,Mumbai Indians,wickets,4,Sunil Steyn,Simon Taufel,Kumar Dharmasena,False
M0027,2008,27,League,2008-04-18,Rajiv Gandhi Intl Cricket Stadium,Hyderabad,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,bat,146,3,18.4,107,3,18.4,normal,Kings XI Punjab,runs,39,Alzarri Riaz,Paul Reiffel,Richard Kettleborough,True
M0028,2008,28,League,2008-04-19,Chinnaswamy Stadium,Bangalore,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,122,10,20.0,108,10,15.3,normal,Kolkata Knight Riders,runs,14,Prithvi Amir,Kumar Dharmasena,Chris Gaffaney,True
M0029,2008,29,League,2008-04-20,M. A. Chidambaram Stadium,Chennai,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,bat,107,3,18.3,62,5,19.7,normal,Chennai Super Kings,runs,45,Virat Rabada,Anil Chaudhary,Michael Gough,False
M0030,2008,30,League,2008-04-21,Eden Gardens,Kolkata,Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,143,10,20.0,138,2,19.6,normal,Kolkata Knight Riders,super over,0,Rassie Pandey,Ulhas Gandhe,KN Ananthapadmanabhan,False
M0031,2008,31,League,2008-04-22,Chinnaswamy Stadium,Bangalore,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,field,104,2,10.1,0,0,0.0,no result,,,0,Mohammad Ali,CK Nandan,Kumar Dharmasena,True
M0032,2008,32,League,2008-04-23,Arun Jaitley Stadium,Delhi,Delhi Daredevils,Mumbai Indians,Mumbai Indians,field,129,8,18.6,65,10,18.7,normal,Delhi Daredevils,runs,64,David Anderson,Virender Sharma,Bruce Oxenford,True
M0033,2008,33,League,2008-04-25,Greenfield Intl Stadium,Thiruvananthapuram,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,bat,215,10,20.0,217,2,15.7,normal,Delhi Daredevils,wickets,7,Shadab Finch,S Ravi,Sundaram Ravi,False
M0034,2008,34,League,2008-04-26,Punjab Cricket Association Stadium,Mohali,Kings XI Punjab,Chennai Super Kings,Kings XI Punjab,field,282,6,19.5,227,10,18.0,normal,Chennai Super Kings,runs,55,Washington Yadav,S Ravi,Anil Chaudhary,False
M0035,2008,35,League,2008-04-28,Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,field,132,2,18.2,134,8,18.4,normal,Kolkata Knight Riders,wickets,4,Denesh Conway,Marais Erasmus,S Ravi,False
M0036,2008,36,League,2008-04-30,Chinnaswamy Stadium,Bangalore,Kings XI Punjab,Deccan Chargers,Kings XI Punjab,field,225,10,20.0,161,5,17.7,normal,Kings XI Punjab,runs,64,Dwayne Brook,AK Chaudhary,Michael Gough,False
M0037,2008,37,League,2008-05-01,Chinnaswamy Stadium,Bangalore,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders,field,113,4,19.1,108,5,19.4,normal,Kolkata Knight Riders,runs,5,Mayank Agarwal,Marais Erasmus,KN Ananthapadmanabhan,True
M0038,2008,38,League,2008-05-03,Greenfield Intl Stadium,Thiruvananthapuram,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,160,9,19.2,170,6,18.8,normal,Royal Challengers Bangalore,wickets,7,Fazalhaq Rizwan,Paul Reiffel,Nitin Menon,True
M0039,2008,39,League,2008-05-04,Brabourne Stadium,Mumbai,Chennai Super Kings,Delhi Daredevils,Chennai Super Kings,field,251,7,18.1,205,4,16.2,normal,Delhi Daredevils,runs,46,Babar Gill,Paul Reiffel,Sundaram Ravi,False
M0040,2008,40,League,2008-05-05,Arun Jaitley Stadium,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,293,10,20.0,208,7,16.3,normal,Royal Challengers Bangalore,runs,85,Naveen Rahane,KN Ananthapadmanabhan,Sundaram Ravi,False
M0041,2008,41,League,2008-05-06,Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,186,4,19.2,121,6,19.8,normal,Royal Challengers Bangalore,runs,65,Glenn Agarwal,Rod Tucker,KN Ananthapadmanabhan,False
M0042,2008,42,League,2008-05-07,Eden Gardens,Kolkata,Kolkata Knight Riders,Kings XI Punjab,Kings XI Punjab,field,119,7,18.5,128,8,17.1,normal,Kolkata Knight Riders,wickets,10,Mark Amir,Anil Chaudhary,Simon Taufel,True
M0043,2008,43,League,2008-05-08,MCA Stadium,Pune,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,147,2,19.3,150,10,17.5,normal,Kolkata Knight Riders,wickets,9,Hasan de Kock,Virender Sharma,Chris Gaffaney,False
M0044,2008,44,League,2008-05-10,M. A. Chidambaram Stadium,Chennai,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore,field,211,8,18.6,172,2,18.2,normal,Royal Challengers Bangalore,runs,39,Lockie Tahir,CK Nandan,Chris Gaffaney,False
M0045,2008,45,League,2008-05-11,Holkar Cricket Stadium,Indore,Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,218,9,19.1,178,7,17.1,normal,Mumbai Indians,runs,40,Moeen Gaikwad,Billy Bowden,Rod Tucker,True
M0046,2008,46,League,2008-05-12,Narendra Modi Stadium,Ahmedabad,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,bat,105,2,19.7,101,6,18.0,tie,Kings XI Punjab,super over,0,Aaron Pope,Simon Taufel,CK Nandan,False
M0047,2008,47,League,2008-05-13,Rajiv Gandhi Intl Cricket Stadium,Hyderabad,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils,bat,230,6,19.0,234,10,15.6,normal,Delhi Daredevils,wickets,10,Alzarri Amir,Nitin Menon,Michael Gough,False
M0048,2008,48,League,2008-05-15,Eden Gardens,Kolkata,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,147,9,19.1,114,2,16.6,normal,Deccan Chargers,runs,33,Virat de Villiers,CK Nandan,KN Ananthapadmanabhan,False
M0049,2008,49,League,2008-05-16,Punjab Cricket Association Stadium,Mohali,Kings XI Punjab,Deccan Chargers,Deccan Chargers,field,157,6,19.1,163,2,17.7,normal,Kings XI Punjab,wickets,1,Hardik Yadav,Bruce Oxenford,Virender Sharma,True
M0050,2008,50,League,2008-05-18,Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,field,196,2,18.5,204,8,18.7,normal,Royal Challengers Bangalore,wickets,6,Lockie Shaw,Nitin Menon,CK Nandan,False
M0051,2008,51,League,2008-05-19,Wankhede Stadium,Mumbai,Mumbai Indians,Deccan Chargers,Deccan Chargers,field,209,4,18.0,214,6,17.9,normal,Mumbai Indians,wickets,3,Shadab du Plessis,Kumar Dharmasena,Marais Erasmus,True
M0052,2008,52,League,2008-05-20,Punjab Cricket Association Stadium,Mohali,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,183,6,18.4,107,7,16.8,normal,Kings XI Punjab,runs,76,Ravichandran Gill,S Ravi,Michael Gough,True
M0053,2008,53,League,2008-05-22,Punjab Cricket Association Stadium,Mohali,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,field,209,6,18.3,129,6,15.9,normal,Chennai Super Kings,runs,80,Kuldeep Ali,Sundaram Ravi,Kumar Dharmasena,False
M0054,2008,54,League,2008-05-23,Ekana Cricket Stadium,Lucknow,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers,bat,173,9,18.8,138,7,19.3,normal,Royal Challengers Bangalore,runs,35,Stuart Thakur,Michael Gough,Rod Tucker,False
M0055,2008,55,League,2008-05-24,Eden Gardens,Kolkata,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,bat,221,7,19.2,163,8,15.4,normal,Deccan Chargers,runs,58,Alzarri Khan,KN Ananthapadmanabhan,Richard Kettleborough,False
M0056,2008,56,League,2008-05-25,Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,187,2,18.7,115,4,17.4,normal,Rajasthan Royals,runs,72,Ross Khan,Anil Chaudhary,Billy Bowden,True
M0057,2008,57,Qualifier 1,2008-05-26,Brabourne Stadium,Mumbai,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore,bat,250,9,18.3,186,6,18.6,normal,Kings XI Punjab,runs,64,Mitchell Rizwan,CK Nandan,Richard Kettleborough,True
M0058,2008,58,Eliminator,2008-05-27,M. A. Chidambaram Stadium,Chennai,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,162,10,20.0,169,3,16.6,normal,Delhi Daredevils,wickets,5,Dawid Iyer,KN Ananthapadmanabhan,Richard Kettleborough,False
M0059,2008,59,Qualifier 2,2008-05-29,Rajiv Gandhi Intl Cricket Stadium,Hyderabad,Deccan Chargers,Chennai Super Kings,Deccan Chargers,bat,271,3,20.0,211,8,15.2,normal,Chennai Super Kings,runs,60,Shadab van der Dussen,Anil Chaudhary,AK Chaudhary,True
M0060,2008,60,Final,2008-05-31,Rajiv Gandhi Intl Cricket Stadium,Hyderabad,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,field,252,6,19.1,230,10,16.1,normal,Royal Challengers Bangalore,runs,22,Harry Brook,Aleem Dar,Ulhas Gandhe,True
M0061,2009,1,League,2009-03-12,Rajiv Gandhi Intl Cricket Stadium,Hyderabad,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,bat,127,7,18.3,60,2,17.3,normal,Deccan Chargers,runs,76,Aaron Saha,KN Ananthapadmanabhan,Virender Sharma,True
M0062,2009,2,League,2009-03-13,Ekana Cricket Stadium,Lucknow,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,bat,176,2,19.5,186,7,15.5,normal,Chennai Super Kings,wickets,5,Quinton Southee,Chris Gaffaney,Marais Erasmus,False
M0063,2009,3,League,2009-03-14,Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,bat,223,3,18.6,139,7,18.7,normal,Chennai Super Kings,runs,84,Nicholas Rahane,Paul Reiffel,Richard Kettleborough,False
M0064,2009,4,League,2009-03-15,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,249,4,18.9,194,7,15.5,normal,Mumbai Indians,runs,55,Naveen Williamson,Ulhas Gandhe,Nitin Menon,False
M0065,2009,5,League,2009-03-17,Punjab Cricket Association Stadium,Mohali,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,field,176,4,20.0,181,4,17.6,normal,Kings XI Punjab,wickets,8,Faheem Tahir,Paul Reiffel,Sundaram Ravi,True
M0066,2009,6,League,2009-03-18,M. A. Chidambaram Stadium,Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,195,10,20.0,120,1,15.6,normal,Mumbai Indians,runs,75,Tom Amla,Virender Sharma,Marais Erasmus,False
M0067,2009,7,League,2009-03-19,M. A. Chidambaram Stadium,Chennai,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,164,7,19.9,168,3,15.4,normal,Deccan Chargers,wickets,8,Harry Karthik,Michael Gough,Chris Gaffaney,True
M0068,2009,8,League,2009-03-20,M. A. Chidambaram Stadium,Chennai,Chennai Super Kings,Deccan Chargers,Chennai Super Kings,bat,222,6,19.2,228,7,19.0,normal,Deccan Chargers,wickets,10,Kagiso Buttler,Simon Taufel,Richard Kettleborough,True
M0069,2009,9,League,2009-03-21,Arun Jaitley Stadium,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,bat,237,5,18.2,240,8,17.1,normal,Delhi Daredevils,wickets,7,Wriddhiman Cummins,Kumar Dharmasena,Marais Erasmus,False
M0070,2009,10,League,2009-03-22,Rajiv Gandhi Intl Cricket Stadium,Hyderabad,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,bat,128,8,20.0,126,8,18.7,normal,Kolkata Knight Riders,runs,2,Harry de Bruyn,Michael Gough,AK Chaudhary,True
M0071,2009,11,League,2009-03-23,Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,116,6,19.8,75,7,19.4,normal,Royal Challengers Bangalore,runs,41,Rilee Maxwell,Kumar Dharmasena,KN Ananthapadmanabhan,False
M0072,2009,12,League,2009-03-25,Wankhede Stadium,Mumbai,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,259,5,19.2,229,6,19.6,normal,Kolkata Knight Riders,runs,30,Gulbadin Zampa,Virender Sharma,Richard Kettleborough,False
M0073,2009,13,League,2009-03-26,Brabourne Stadium,Mumbai,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,bat,214,4,18.3,224,8,15.5,normal,Kolkata Knight Riders,wickets,2,Lockie Shaw,CK Nandan,KN Ananthapadmanabhan,True
M0074,2009,14,League,2009-03-27,M. A. Chidambaram Stadium,Chennai,Chennai Super Kings,Deccan Chargers,Deccan Chargers,field,98,3,18.7,108,4,15.6,normal,Chennai Super Kings,wickets,9,Mark Ashwin,Bruce Oxenford,KN Ananthapadmanabhan,False
M0075,2009,15,League,2009-03-28,Sawai Mansingh Stadium,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,211,3,19.9,221,2,19.1,normal,Rajasthan Royals,wickets,8,Sunil de Bruyn,Billy Bowden,Ulhas Gandhe,True
M0076,2009,16,League,2009-03-29,Arun Jaitley Stadium,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,124,4,19.3,127,2,19.2,normal,Royal Challengers Bangalore,wickets,8,Shikhar Ferguson,Virender Sharma,CK Nandan,True
M0077,2009,17,League,2009-03-30,Rajiv Gandhi Intl Cricket Stadium,Hyderabad,Deccan Chargers,Kings XI Punjab,Deccan Chargers,bat,170,10,20.0,138,7,18.9,normal,Kings XI Punjab,runs,32,Ross Ali,Richard Kettleborough,CK Nandan,False
M0078,2009,18,League,2009-04-01,Rajiv Gandhi Intl Cricket Stadium,Hyderabad,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,117,3,18.7,120,7,15.3,normal,Deccan Chargers,wickets,9,Harry de Bruyn,Billy Bowden,Richard Kettleborough,True
M0079,2009,19,League,2009-04-03,Wankhede Stadium,Mumbai,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,129,8,18.9,138,10,18.9,normal,Mumbai Indians,wickets,9,Alzarri Amir,Virender Sharma,Anil Chaudhary,False
M0080,2009,20,League,2009-04-05,Wankhede Stadium,Mumbai,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,171,5,18.2,176,9,16.7,normal,Mumbai Indians,wickets,9,Mitchell Conway,Marais Erasmus,Aleem Dar,False
M0081,2009,21,League,2009-04-06,DY Patil Stadium,Navi Mumbai,Mumbai Indians,Delhi Daredevils,Delhi Daredevils,bat,255,3,18.1,190,2,17.2,normal,Delhi Daredevils,runs,65,Umesh Rossouw,Sundaram Ravi,Aleem Dar,True
M0082,2009,22,League,2009-04-08,Barabati Stadium,Cuttack,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,field,163,3,18.7,167,6,17.3,normal,Kolkata Knight Riders,wickets,9,Martin Gill,Richard Kettleborough,CK Nandan,True
M0083,2009,23,League,2009-04-10,Greenfield Intl Stadium,Thiruvananthapuram,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,field,199,6,19.2,206,8,18.4,normal,Kolkata Knight Riders,wickets,9,Lockie Boult,KN Ananthapadmanabhan,CK Nandan,True
M0084,2009,24,League,2009-04-11,Rajiv Gandhi Intl Cricket Stadium,Hyderabad,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,bat,195,3,19.2,197,2,16.8,normal,Kings XI Punjab,wickets,9,Ben Khan,Paul Reiffel,Billy Bowden,True
M0085,2009,25,League,2009-04-13,DY Patil Stadium,Navi Mumbai,Rajasthan Royals,Kings XI Punjab,Kings XI Punjab,field,207,2,19.9,131,5,19.4,normal,Rajasthan Royals,runs,76,Mark Ashwin,Rod Tucker,Marais Erasmus,True
M0086,2009,26,League,2009-04-15,JSCA Intl Stadium Complex,Ranchi,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,128,4,19.0,136,8,15.7,normal,Chennai Super Kings,wickets,8,KL Stokes,Nitin Menon,Simon Taufel,False
M0087,2009,27,League,2009-04-17,Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Kolkata Knight Riders,Kolkata Knight Riders,field,142,2,19.1,147,9,18.2,normal,Kolkata Knight Riders,wickets,2,Rahul Ngidi,AK Chaudhary,Simon Taufel,False
M0088,2009,28,League,2009-04-18,M. A. Chidambaram Stadium,Chennai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,170,5,18.5,174,8,15.4,normal,Chennai Super Kings,super over,0,Sanju Williamson,AK Chaudhary,Nitin Menon,True
M0089,2009,29,League,2009-04-20,MCA Stadium,Pune,Deccan Chargers,Royal Challengers Bangalore,Royal Challengers Bangalore,bat,141,3,19.1,129,5,15.7,normal,Royal Challengers Bangalore,runs,12,Mohammed Topley,Chris Gaffaney,Simon Taufel,True
M0090,2009,30,League,2009-04-21,Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,bat,181,4,18.8,168,6,16.3,normal,Royal Challengers Bangalore,runs,13,Aiden de Bruyn,Kumar Dharmasena,Billy Bowden,True
M0091,2009,31,League,2009-04-22,Eden Gardens,Kolkata,Kolkata Knight Riders,Deccan Chargers,Deccan Chargers,bat,169,9,18.1,116,4,19.6,normal,Deccan Chargers,runs,53,Ross Bumrah,Aleem Dar,Chris Gaffaney,False
M0092,2009,32,League,2009-04-24,Rajiv Gandhi Intl Cricket Stadium,Hyderabad,Delhi Daredevils,Deccan Chargers,Deccan Chargers,field,192,10,20.0,196,9,19.8,normal,Delhi Daredevils,wickets,3,Shai Amla,AK Chaudhary,Virender Sharma,True
M0093,2009,33,League,2009-04-25,Arun Jaitley Stadium,Delhi,Deccan Chargers,Royal Challengers Bangalore,Deccan Chargers,bat,230,7,19.7,197,4,17.9,normal,Royal Challengers Bangalore,runs,33,Krunal Afridi,Ulhas Gandhe,Paul Reiffel,True
M0094,2009,34,League,2009-04-26,Arun Jaitley Stadium,Delhi,Delhi Daredevils,Kings XI Punjab,Delhi Daredevils,bat,226,7,19.8,231,8,16.4,normal,Kings XI Punjab,wickets,4,Dewald van der Dussen,Nitin Menon,Michael Gough,True
M0095,2009,35,League,2009-04-27,Rajiv Gandhi Intl Cricket Stadium,Hyderabad,Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,field,228,8,19.1,230,9,15.2,normal,Rajasthan Royals,wickets,7,Shikhar Ferguson,Virender Sharma,Kumar Dharmasena,False
M0096,2009,36,League,2009-04-28,Holkar Cricket Stadium,Indore,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,bat,98,5,19.5,104,4,15.4,normal,Deccan Chargers,wickets,8,Shadab van der Dussen,Michael Gough,Paul Reiffel,True
M0097,2009,37,League,2009-04-29,Rajiv Gandhi Intl Cricket Stadium,Hyderabad,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,bat,264,9,18.3,228,4,18.3,normal,Kings XI Punjab,runs,36,Ollie Rahul,Sundaram Ravi,Michael Gough,True
M0098,2009,38,League,2009-04-30,Punjab Cricket Association Stadium,Mohali,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,bat,239,6,19.4,236,8,15.0,normal,Rajasthan Royals,runs,3,Jasprit Rayudu,CK Nandan,Billy Bowden,True
M0099,2009,39,League,2009-05-01,Chinnaswamy Stadium,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,field,108,6,19.8,116,6,15.0,normal,Royal Challengers Bangalore,wickets,4,James Stubbs,Rod Tucker,Nitin Menon,False
M0100,2009,40,League,2009-05-02,M. A. Chidambaram Stadium,Chennai,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,bat,116,3,18.1,76,7,19.0,normal,Chennai Super Kings,runs,40,Shikhar Ferguson,Sundaram Ravi,Nitin Menon,True
