player_id,player_name,nationality,dob_year,batting_style,bowling_style,playing_role,ipl_debut_season,last_season_played,is_capped_international,base_price_lakh,highest_auction_price_lakh
P0072,Dwaine de Villiers,West Indies,1984,Right-hand bat,Slow left-arm orthodox,All-Rounder,2008,2010,True,100,345
P0073,Anrich Guptill,England,2004,Right-hand bat,,Batsman,2025,2025,True,20,125
P0074,Mohammad Nortje,England,1991,Right-hand bat,Right-arm medium,Bowler,2013,2023,True,50,65
P0075,Manish Ferguson,West Indies,1996,Right-hand bat,Slow left-arm orthodox,Bowler,2013,2025,True,200,585
P0076,Najibullah Ngidi,West Indies,1980,Right-hand bat,,Batsman,2008,2014,False,75,350
P0077,Ollie Buttler,South Africa,1990,Right-hand bat,,Batsman,2008,2016,True,20,90
P0078,Nathan Iyer,South Africa,1995,Left-hand bat,,Wicketkeeper-Batsman,2019,2025,True,20,60
P0079,Marcus Siraj,India,1982,Left-hand bat,Left-arm medium,Bowler,2008,2016,True,150,950
P0080,Shardul Finch,England,1995,Left-hand bat,Right-arm offbreak,All-Rounder,2018,2020,False,40,475
P0081,Kieron Williamson,Australia,1986,Right-hand bat,Right-arm offbreak,Bowler,2009,2023,True,75,885
P0082,Ishan Guptill,New Zealand,1982,Left-hand bat,Right-arm fast-medium,Bowler,2008,2013,True,200,1940
P0083,Marchant Natarajan,Sri Lanka,1996,Right-hand bat,,Batsman,2020,2025,True,40,235
P0084,Mohammad Saha,Sri Lanka,2000,Right-hand bat,Left-arm orthodox,All-Rounder,2020,2025,False,75,270
P0085,Hardik Azam,India,1999,Left-hand bat,Right-arm leg break,All-Rounder,2018,2025,False,20,50
P0086,Mohammad Maxwell,Bangladesh,1978,Right-hand bat,,Wicketkeeper-Batsman,2008,2015,True,200,1640
P0087,Jason de Villiers,India,1988,Right-hand bat,,Batsman,2011,2017,False,150,1335
P0088,Harry Karthik,South Africa,1987,Right-hand bat,,Batsman,2008,2020,True,20,115
P0089,Umesh Rossouw,Bangladesh,1979,Right-hand bat,,Wicketkeeper-Batsman,2008,2021,True,20,85
P0090,Martin Rabada,India,1980,Right-hand bat,Left-arm fast,Bowler,2008,2018,False,150,545
P0091,Martin Archer,South Africa,2003,Right-hand bat,Right-arm offbreak,Bowler,2022,2025,True,100,275
P0092,Shadab Southee,Australia,1987,Left-hand bat,,Batsman,2008,2015,True,200,1265
P0093,Devdutt Ali,India,2004,Left-hand bat,Right-arm offbreak,Bowler,2022,2023,False,100,1050
P0094,KL Finch,New Zealand,1985,Left-hand bat,Right-arm offbreak,All-Rounder,2008,2012,True,150,465
P0095,Marcus Coetzee,England,1998,Right-hand bat,Left-arm fast,All-Rounder,2015,2020,True,200,1170
P0096,Lockie Boult,India,1982,Right-hand bat,,Batsman,2008,2017,False,100,1105
P0097,Faf Chahar,West Indies,1992,Right-hand bat,,Wicketkeeper-Batsman,2010,2013,False,200,2325
P0098,Rahul Pope,India,2003,Left-hand bat,,Wicketkeeper-Batsman,2020,2025,True,100,235
P0099,Tim Pope,Zimbabwe,1981,Right-hand bat,,Batsman,2008,2016,False,20,155
P0100,Shaheen Lyon,Bangladesh,1987,Right-hand bat,,Batsman,2010,2012,True,40,60
P0101,Sunil Cummins,India,1989,Left-hand bat,,Batsman,2012,2022,False,150,1350
P0102,Washington Maxwell,India,1989,Right-hand bat,Right-arm offbreak,All-Rounder,2009,2017,False,75,860
P0103,Glenn Topley,India,1990,Left-hand bat,Slow left-arm orthodox,Bowler,2011,2015,False,20,230
P0104,Steve Broad,India,1988,Right-hand bat,,Batsman,2008,2011,True,200,1440
P0105,Aaron Saha,India,1982,Right-hand bat,,Batsman,2008,2013,False,200,2365
P0106,Shreyas du Plessis,India,1989,Right-hand bat,Right-arm fast,All-Rounder,2009,2019,True,50,60
P0107,Trent de Bruyn,Australia,2002,Right-hand bat,Right-arm medium,Bowler,2024,2025,True,100,220
P0108,Tristan Lyon,Australia,1992,Left-hand bat,,Batsman,2009,2010,True,75,775
P0109,Mitchell Thakur,India,1982,Right-hand bat,Right-arm medium,All-Rounder,2008,2011,True,50,395
P0110,Krunal Afridi,Australia,1997,Right-hand bat,Right-arm offbreak,Bowler,2020,2022,False,200,1745
P0111,Washington Stubbs,Australia,1985,Left-hand bat,Right-arm leg break,Bowler,2008,2014,True,200,1200
P0112,Glenn Azam,Netherlands,1999,Right-hand bat,Left-arm orthodox,Bowler,2023,2025,True,20,205
P0113,Glenn Pretorius,India,1995,Left-hand bat,Right-arm fast-medium,All-Rounder,2017,2025,False,20,110
P0114,Dewald Brevis,Ireland,1997,Left-hand bat,Right-arm fast,Bowler,2018,2024,True,20,145
P0115,Mayank Chahar,India,2002,Right-hand bat,,Batsman,2023,2025,False,40,395
P0116,Nathan Hazlewood,England,1999,Right-hand bat,Right-arm fast,Bowler,2020,2021,False,40,160
P0117,Aiden Zaman,England,1990,Right-hand bat,Left-arm fast,Bowler,2008,2011,True,150,1195
P0118,Tim Samson,India,1987,Right-hand bat,,Batsman,2009,2022,False,100,755
P0119,Ross Buttler,India,1999,Right-hand bat,Right-arm medium,All-Rounder,2022,2025,True,100,585
P0120,Marcus Sundar,South Africa,1996,Right-hand bat,,Batsman,2020,2025,True,150,660
P0121,Ravichandran Gill,New Zealand,2002,Right-hand bat,,Batsman,2023,2025,True,50,115
P0122,Gulbadin Bairstow,Australia,2004,Right-hand bat,,Batsman,2020,2025,True,200,1830
P0123,Andre Yadav,India,1998,Right-hand bat,,Wicketkeeper-Batsman,2021,2025,False,20,110
P0124,Ben Hazlewood,India,2005,Right-hand bat,Left-arm orthodox,Bowler,2023,2025,True,75,560
P0125,Mujeeb Tahir,India,1998,Right-hand bat,Left-arm fast,All-Rounder,2016,2025,False,100,315
P0126,Shadab van der Dussen,India,1982,Right-hand bat,,Wicketkeeper-Batsman,2008,2012,False,40,305
P0127,Washington Yadav,Australia,1996,Left-hand bat,,Batsman,2020,2025,False,100,805
P0128,Shaheen Malan,India,1987,Right-hand bat,,Batsman,2008,2018,True,20,95
P0129,Kieron Rahane,India,2005,Right-hand bat,,Batsman,2023,2025,True,100,660
P0130,Ishan de Bruyn,South Africa,1988,Right-hand bat,,Wicketkeeper-Batsman,2012,2021,True,40,460
P0131,Dawid Zaman,India,1985,Right-hand bat,,Wicketkeeper-Batsman,2009,2017,True,100,675
P0132,Wahab Jansen,England,2003,Left-hand bat,Slow left-arm orthodox,Bowler,2025,2025,False,50,100
P0133,Marco du Plessis,Afghanistan,1988,Right-hand bat,Left-arm fast-medium,All-Rounder,2008,2018,True,150,385
P0134,Washington Salt,India,1990,Right-hand bat,Right-arm medium,All-Rounder,2012,2025,False,40,335
P0135,Adam Topley,India,1989,Right-hand bat,,Wicketkeeper-Batsman,2008,2014,True,50,150
P0136,Tristan Stubbs,India,1987,Right-hand bat,Left-arm fast,Bowler,2008,2017,False,200,1385
P0137,Axar Jadeja,India,1990,Left-hand bat,Left-arm fast-medium,All-Rounder,2009,2012,False,40,405
P0138,Dawid Stokes,South Africa,1985,Right-hand bat,Left-arm orthodox,All-Rounder,2009,2019,False,50,465
P0139,Jofra Pandey,Bangladesh,1984,Left-hand bat,,Batsman,2008,2019,True,100,1185
P0140,Marco Klaasen,West Indies,2003,Right-hand bat,Left-arm fast,Bowler,2022,2025,True,50,80
P0141,Wahab Saha,Sri Lanka,1987,Left-hand bat,,Wicketkeeper-Batsman,2008,2021,False,40,160
P0142,Martin Padikkal,Afghanistan,1978,Left-hand bat,,Batsman,2008,2009,True,75,490
P0143,David Riaz,Sri Lanka,1998,Right-hand bat,,Batsman,2020,2025,True,40,100
P0144,Mark Shami,India,1978,Right-hand bat,Left-arm wrist spin,All-Rounder,2008,2009,True,50,170
P0145,Dewald van der Dussen,India,1981,Right-hand bat,Right-arm offbreak,Bowler,2008,2012,True,75,600
P0146,Rishabh Cummins,India,1994,Right-hand bat,Right-arm fast-medium,All-Rounder,2014,2025,True,40,170
P0147,Hasan de Kock,India,1989,Right-hand bat,Slow left-arm orthodox,Bowler,2008,2017,False,100,660
P0148,Ishan Dhoni,India,1989,Right-hand bat,Slow left-arm orthodox,Bowler,2010,2022,True,20,100
P0149,Quinton van der Dussen,New Zealand,1988,Right-hand bat,Left-arm fast-medium,All-Rounder,2008,2009,False,50,350
P0150,Jonny Klaasen,England,2003,Left-hand bat,Left-arm wrist spin,All-Rounder,2022,2024,True,150,1430
P0151,Dale Curran,India,1987,Right-hand bat,,Batsman,2010,2024,True,100,620
P0152,Kuldeep Ali,Sri Lanka,1988,Left-hand bat,,Batsman,2009,2011,False,200,1010
P0153,Tim Dhawan,Australia,1993,Right-hand bat,,Wicketkeeper-Batsman,2015,2025,False,200,1340
P0154,Lockie Shaw,Australia,1988,Right-hand bat,,Batsman,2008,2010,True,50,415
P0155,Bhuvneshwar Markram,India,2001,Right-hand bat,Left-arm orthodox,Bowler,2023,2025,False,75,300
P0156,Tristan Gill,Australia,2001,Right-hand bat,,Batsman,2020,2021,False,40,415
P0157,Najibullah Jadeja,India,1990,Right-hand bat,,Batsman,2008,2018,False,40,340
P0158,Wahab Dhawan,India,1988,Right-hand bat,Right-arm fast-medium,All-Rounder,2009,2013,True,20,25
P0159,Alzarri Amir,South Africa,1984,Right-hand bat,,Wicketkeeper-Batsman,2008,2020,True,75,240
P0160,Suryakumar Rahane,West Indies,2005,Left-hand bat,,Batsman,2025,2025,True,150,255
P0161,Rilee Amla,India,1989,Left-hand bat,,Wicketkeeper-Batsman,2009,2011,True,40,390
P0162,Sunil Bumrah,West Indies,1995,Right-hand bat,Left-arm wrist spin,Bowler,2014,2024,True,20,35
P0163,Krunal Coetzee,West Indies,1980,Right-hand bat,Right-arm leg break,Bowler,2008,2014,True,150,270
P0164,Alzarri Khan,England,1983,Left-hand bat,,Batsman,2008,2015,True,100,1100
P0165,Kane Agarwal,Pakistan,1985,Right-hand bat,,Batsman,2008,2017,True,50,515
P0166,Umesh Saha,Australia,1994,Right-hand bat,,Batsman,2013,2023,False,100,270
P0167,Rahul Finch,West Indies,1978,Left-hand bat,,Batsman,2008,2009,True,150,1420
P0168,Liam Stubbs,Australia,1998,Right-hand bat,Right-arm fast,Bowler,2019,2025,False,50,315
P0169,Dinesh Iyer,India,1991,Right-hand bat,,Batsman,2015,2023,True,40,190
P0170,Reece Markram,Nepal,1982,Left-hand bat,,Batsman,2008,2017,True,100,215
P0171,Kane Nortje,India,1990,Right-hand bat,Right-arm fast,Bowler,2013,2017,False,200,2185
P0172,Marchant Ferguson,Australia,1994,Right-hand bat,Left-arm fast,All-Rounder,2018,2025,True,50,325
P0173,Mujeeb Natarajan,India,1979,Right-hand bat,Left-arm fast-medium,Bowler,2008,2016,False,100,1070
P0174,Jason Jansen,India,1986,Left-hand bat,Right-arm leg break,Bowler,2008,2021,True,75,375
P0175,Prithvi Rayudu,India,1992,Right-hand bat,,Batsman,2013,2025,True,100,850
P0176,Glenn Chahal,Pakistan,2002,Left-hand bat,Right-arm fast-medium,Bowler,2021,2025,True,100,660
P0177,Hardik Jadeja,Australia,1982,Right-hand bat,,Batsman,2008,2014,True,100,450
P0178,Mohammed de Bruyn,West Indies,1995,Right-hand bat,Right-arm fast-medium,All-Rounder,2019,2025,False,100,430
P0179,Wahab Rizwan,India,2001,Left-hand bat,Left-arm fast-medium,All-Rounder,2018,2025,False,75,295
P0180,Mitch Zampa,Australia,1994,Left-hand bat,Left-arm fast-medium,Bowler,2017,2020,True,200,1700
P0181,Tristan Salt,India,1991,Right-hand bat,,Batsman,2011,2018,False,100,950
P0182,Harry de Bruyn,India,1988,Left-hand bat,Right-arm fast-medium,All-Rounder,2012,2021,True,75,335
P0183,Rassie Pandey,England,2000,Right-hand bat,,Batsman,2021,2025,True,75,235
P0184,Ruturaj Amla,New Zealand,2000,Left-hand bat,,Batsman,2020,2025,True,150,955
P0185,Ruturaj Coetzee,Australia,1990,Right-hand bat,,Batsman,2012,2025,True,200,520
P0186,Heinrich Markram,India,1993,Left-hand bat,,Batsman,2013,2017,False,200,1385
P0187,Ambati Nortje,India,1979,Right-hand bat,,Batsman,2008,2019,True,40,65
P0188,Krunal Shami,Ireland,1983,Left-hand bat,,Batsman,2008,2019,True,75,470
P0189,Marco Afridi,South Africa,1985,Right-hand bat,,Batsman,2008,2023,False,40,225
P0190,Marchant Jadeja,India,2001,Right-hand bat,,Wicketkeeper-Batsman,2022,2025,True,20,20
P0191,Mitchell Rizwan,Australia,1982,Left-hand bat,,Batsman,2008,2013,True,40,395
P0192,Lockie Ashwin,New Zealand,2003,Left-hand bat,Right-arm fast,Bowler,2024,2025,True,150,1400
P0193,Ollie Curran,India,1990,Left-hand bat,,Wicketkeeper-Batsman,2008,2011,False,40,250
P0194,Virat de Villiers,Netherlands,1987,Right-hand bat,Right-arm offbreak,Bowler,2008,2013,True,150,745
P0195,Sanju Williamson,Australia,2000,Right-hand bat,Slow left-arm orthodox,Bowler,2021,2025,False,20,160
P0196,Wahab Lyon,India,2001,Left-hand bat,,Batsman,2023,2025,True,150,1055
P0197,Yuzvendra Hales,New Zealand,2005,Left-hand bat,Slow left-arm orthodox,All-Rounder,2023,2025,True,75,510
P0198,Aiden Uthappa,India,1995,Left-hand bat,,Batsman,2014,2017,True,50,520
P0199,Dinesh Livingstone,India,1979,Right-hand bat,Right-arm fast-medium,All-Rounder,2008,2011,True,100,555
P0200,Ruturaj Kumar,India,2004,Right-hand bat,Right-arm fast,All-Rounder,2021,2025,True,40,295
P0201,Shadab Salt,USA,1993,Left-hand bat,,Batsman,2010,2015,True,75,225
P0202,Kuldeep van der Dussen,India,1990,Right-hand bat,Right-arm leg break,Bowler,2013,2015,False,150,1740
P0203,Devon Wood,India,1982,Right-hand bat,,Wicketkeeper-Batsman,2008,2022,False,20,185
P0204,Kieron Pope,West Indies,1985,Right-hand bat,Right-arm leg break,All-Rounder,2009,2015,False,40,160
P0205,Rahul Brewis,England,1978,Left-hand bat,,Batsman,2008,2012,True,20,40
P0206,Ravichandran Pope,India,1985,Right-hand bat,Right-arm fast,All-Rounder,2008,2021,True,200,1905
P0207,Dale Archer,England,2002,Left-hand bat,Left-arm orthodox,All-Rounder,2024,2025,False,50,530
P0208,Alzarri Gayle,Zimbabwe,2001,Right-hand bat,Right-arm fast-medium,Bowler,2020,2025,True,150,855
P0209,Shadab Anderson,South Africa,1991,Left-hand bat,Left-arm orthodox,All-Rounder,2010,2015,True,75,225
P0210,Quinton Gayle,Bangladesh,1995,Left-hand bat,,Batsman,2018,2025,True,100,685
P0211,Faf Livingstone,Sri Lanka,1980,Right-hand bat,,Batsman,2008,2009,True,50,255
P0212,Hardik Yadav,England,1993,Left-hand bat,,Batsman,2013,2025,False,50,215
P0213,Adil Ali,Bangladesh,2000,Right-hand bat,,Wicketkeeper-Batsman,2020,2025,False,40,285
P0214,Shoaib Kumar,India,1993,Right-hand bat,Right-arm offbreak,Bowler,2017,2019,True,200,2360
P0215,Stuart Azam,India,2005,Right-hand bat,,Wicketkeeper-Batsman,2025,2025,True,40,45
P0216,Shikhar Zampa,India,1990,Right-hand bat,Left-arm medium,All-Rounder,2010,2018,False,100,820
P0217,Faf Brewis,New Zealand,1992,Left-hand bat,Slow left-arm orthodox,All-Rounder,2011,2023,True,200,975
P0218,Shreyas Thakur,Netherlands,1994,Left-hand bat,,Batsman,2011,2025,False,200,365
P0219,KL Brewis,India,2000,Right-hand bat,,Batsman,2019,2020,True,40,265
P0220,Deepak Curran,South Africa,1978,Right-hand bat,Left-arm wrist spin,All-Rounder,2008,2017,True,100,550
P0221,Rahul Ngidi,West Indies,1999,Right-hand bat,Right-arm fast-medium,Bowler,2022,2025,True,40,85
P0222,Ross de Kock,India,1990,Right-hand bat,,Batsman,2008,2014,True,75,455
P0223,Ambati Gayle,South Africa,2005,Left-hand bat,,Batsman,2022,2024,True,75,390
P0224,Shubman Curran,Sri Lanka,1998,Right-hand bat,,Batsman,2020,2025,False,200,2340
P0225,Aiden Pandya,Australia,1979,Left-hand bat,,Batsman,2008,2019,True,50,545
P0226,Ravindra Bairstow,England,2002,Right-hand bat,,Wicketkeeper-Batsman,2025,2025,True,20,85
P0227,Prithvi Amir,New Zealand,1982,Right-hand bat,Right-arm leg break,All-Rounder,2008,2017,True,150,1760
P0228,Gulbadin Archer,Netherlands,1990,Right-hand bat,Left-arm fast-medium,All-Rounder,2012,2013,False,150,600
P0229,Nicholas Archer,India,1996,Left-hand bat,Right-arm leg break,Bowler,2019,2021,False,200,1560
P0230,Krunal Yadav,India,1990,Right-hand bat,,Batsman,2012,2018,False,20,40
P0231,Najibullah Ashraf,India,1992,Right-hand bat,Right-arm medium,All-Rounder,2015,2017,True,20,40
P0232,Ravichandran Marsh,India,1990,Left-hand bat,Right-arm fast,All-Rounder,2008,2020,False,100,1095
P0233,Devdutt Agarwal,India,1986,Right-hand bat,,Batsman,2010,2013,True,20,55
P0234,Hashim Chahar,South Africa,1993,Right-hand bat,Left-arm medium,All-Rounder,2013,2021,True,20,50
P0235,Mujeeb Rizwan,India,1991,Right-hand bat,Left-arm orthodox,All-Rounder,2010,2015,False,50,380
P0236,Dwayne Azam,India,2000,Right-hand bat,,Batsman,2024,2025,True,200,735
P0237,Tom Chahal,England,1995,Left-hand bat,Left-arm medium,Bowler,2014,2025,False,200,1410
P0238,Kieron Rossouw,West Indies,2003,Left-hand bat,,Batsman,2025,2025,True,40,320
P0239,Mayank Taylor,India,1997,Left-hand bat,Right-arm medium,All-Rounder,2021,2025,False,75,515
P0240,Harry Brook,South Africa,2003,Right-hand bat,Left-arm orthodox,Bowler,2021,2023,False,200,745
P0241,Ben Anderson,South Africa,1990,Right-hand bat,Slow left-arm orthodox,Bowler,2012,2025,True,75,160
P0242,Chris Sundar,India,1989,Right-hand bat,Left-arm fast-medium,All-Rounder,2012,2020,False,200,1695
P0243,Ross Khan,India,1980,Right-hand bat,,Wicketkeeper-Batsman,2008,2022,True,150,385
P0244,Andre Livingstone,India,2000,Right-hand bat,Right-arm medium,Bowler,2024,2025,False,20,85
P0245,Pat Dhoni,West Indies,2001,Right-hand bat,Slow left-arm orthodox,All-Rounder,2021,2025,True,40,285
P0246,Ibrahim Kumar,India,1999,Right-hand bat,,Batsman,2022,2025,False,20,180
P0247,Shimron Southee,India,2002,Right-hand bat,Left-arm medium,Bowler,2020,2025,True,20,195
P0248,Faheem Afridi,Sri Lanka,1994,Right-hand bat,,Batsman,2016,2025,True,75,580
P0249,Shadab Ali,South Africa,1987,Right-hand bat,Slow left-arm orthodox,All-Rounder,2008,2019,True,40,180
P0250,Pat Root,India,1982,Right-hand bat,Right-arm leg break,Bowler,2008,2015,True,40,255
P0251,Aiden Anderson,Australia,1982,Right-hand bat,,Wicketkeeper-Batsman,2008,2014,True,200,1190
P0252,Hasan Sharma,Ireland,1994,Right-hand bat,Right-arm leg break,Bowler,2018,2025,False,150,960
P0253,Najibullah Thakur,India,1986,Right-hand bat,,Batsman,2008,2017,True,50,145
P0254,Tim Stubbs,England,1986,Right-hand bat,Right-arm medium,All-Rounder,2008,2017,False,200,1865
P0255,Najibullah Karthik,New Zealand,1987,Right-hand bat,,Batsman,2008,2016,False,50,240
P0256,Najibullah Williamson,South Africa,2005,Right-hand bat,Left-arm fast-medium,All-Rounder,2021,2025,False,40,385
P0257,Dawid Gill,Australia,1988,Right-hand bat,Left-arm fast-medium,Bowler,2009,2014,False,100,395
P0258,Gerald Pope,Bangladesh,1986,Right-hand bat,Right-arm leg break,All-Rounder,2008,2020,True,200,490
P0259,Aaron Pope,India,1991,Right-hand bat,Slow left-arm orthodox,Bowler,2014,2022,False,20,160
P0260,Steve Iyer,Australia,1993,Right-hand bat,Left-arm orthodox,Bowler,2015,2025,False,20,210
P0261,Steve van der Dussen,Sri Lanka,2003,Right-hand bat,,Wicketkeeper-Batsman,2021,2025,True,200,665
P0262,Mark Jansen,Sri Lanka,2003,Right-hand bat,,Batsman,2025,2025,True,150,1410
P0263,Shardul Ashwin,India,1978,Left-hand bat,,Batsman,2008,2012,False,150,1650
P0264,Hashim Buttler,South Africa,1986,Left-hand bat,,Wicketkeeper-Batsman,2008,2014,True,150,1640
P0265,Mujeeb Malan,India,1980,Right-hand bat,,Batsman,2008,2009,True,40,250
